iter	MultiClass
0	0.9700080976
1	0.8955489852
2	0.8542643598
3	0.8123060587
4	0.7874613318
5	0.7505389522
6	0.7302103489
7	0.7042740095
8	0.687240698
9	0.6729555121
10	0.6567080697
11	0.6387141261
12	0.6210427
13	0.6084706716
14	0.5979460258
15	0.5765672414
16	0.566497092
17	0.5552606727
18	0.5416768102
19	0.5251167425
20	0.511268101
21	0.4962837227
22	0.4831516561
23	0.4718820589
24	0.4634381672
25	0.4498202259
26	0.4439747035
27	0.4337676835
28	0.426132113
29	0.4130051851
30	0.4006006695
31	0.3910032417
32	0.3855689055
33	0.3800115232
34	0.3696392106
35	0.3601080897
36	0.3523329242
37	0.3482978102
38	0.3407226503
39	0.3321600195
40	0.3219291904
41	0.3162499104
42	0.3110218285
43	0.3053828332
44	0.2984835738
45	0.2926503701
46	0.2873398017
47	0.2799064281
48	0.2772084272
49	0.2721779353
50	0.267028667
51	0.2641844392
52	0.2570226552
53	0.2522938763
54	0.2480316034
55	0.2433363046
56	0.2401639742
57	0.2355286602
58	0.2313075228
59	0.2268025395
60	0.2234637411
61	0.2206203232
62	0.2159976375
63	0.2125158107
64	0.2099323839
65	0.2071219005
66	0.2035609914
67	0.1998271109
68	0.1954563009
69	0.1925858088
70	0.1892101331
71	0.1869805329
72	0.1849668696
73	0.1814250887
74	0.1780473857
75	0.1752706976
76	0.17333316
77	0.1707921002
78	0.1680914581
79	0.1648573778
80	0.1616359011
81	0.1594146597
82	0.1567739735
83	0.1544134144
84	0.1518200765
85	0.1492569188
86	0.1472122124
87	0.1441715428
88	0.1428563288
89	0.1406539135
90	0.1391088788
91	0.1368703173
92	0.1353471435
93	0.1336225206
94	0.1312947081
95	0.1289557772
96	0.1283170163
97	0.1263190035
98	0.1244707837
99	0.1217655437
