iter	Passed	Remaining
0	81	8105
1	142	6974
2	202	6538
3	278	6693
4	349	6644
5	421	6596
6	490	6512
7	561	6460
8	632	6394
9	702	6324
10	765	6190
11	825	6056
12	888	5944
13	948	5827
14	1007	5711
15	1067	5606
16	1127	5506
17	1193	5438
18	1254	5347
19	1316	5265
20	1380	5194
21	1443	5117
22	1505	5040
23	1567	4964
24	1627	4883
25	1688	4806
26	1749	4730
27	1810	4654
28	1871	4581
29	1931	4507
30	1993	4436
31	2054	4365
32	2115	4295
33	2175	4222
34	2235	4151
35	2295	4080
36	2356	4011
37	2415	3940
38	2475	3871
39	2536	3804
40	2598	3739
41	2659	3673
42	2720	3606
43	2781	3539
44	2842	3474
45	2902	3406
46	2963	3341
47	3024	3276
48	3084	3210
49	3143	3143
50	3204	3078
51	3265	3014
52	3326	2949
53	3387	2885
54	3446	2819
55	3508	2756
56	3568	2692
57	3629	2628
58	3690	2564
59	3750	2500
60	3813	2437
61	3882	2379
62	3951	2320
63	4023	2263
64	4089	2201
65	4157	2141
66	4218	2077
67	4279	2014
68	4341	1950
69	4403	1887
70	4463	1822
71	4542	1766
72	4614	1706
73	4684	1645
74	4754	1584
75	4818	1521
76	4878	1457
77	4938	1393
78	4998	1328
79	5058	1264
80	5119	1200
81	5179	1137
82	5239	1073
83	5300	1009
84	5360	945
85	5421	882
86	5483	819
87	5547	756
88	5608	693
89	5671	630
90	5732	566
91	5794	503
92	5856	440
93	5918	377
94	5980	314
95	6041	251
96	6102	188
97	6163	125
98	6222	62
99	6283	0
