image_number,annotator,Time,done
IMG_2198,dorins,15-12-2023_19-26-10,True
IMG_2153,dorins,15-12-2023_19-26-10,True
IMG_2305,Nirmalka,15-12-2023_19-26-10,True
IMG_2145,Nirmalka,15-12-2023_19-26-10,True
IMG_2129,Nirmalka,15-12-2023_19-26-10,True
IMG_1875,dorins,15-12-2023_19-26-10,True
IMG_1787,dorins,15-12-2023_19-26-10,True
IMG_1857,dorins,15-12-2023_19-26-10,True
IMG_1753,Nirmalka,15-12-2023_19-26-10,True
IMG_1777,Nirmalka,15-12-2023_19-26-10,True
IMG_1818,Nirmalka,15-12-2023_19-26-10,True
IMG_0014,Nirmalka,22-12-2023_15-09-14,True
IMG_0003,Nirmalka,22-12-2023_15-09-14,True
IMG_0002,Nirmalka,22-12-2023_15-09-14,True
IMG_0001,Nirmalka,22-12-2023_15-09-14,True
IMG_1093,Nirmalka,22-12-2023_15-17-04,True
IMG_1086,Nirmalka,22-12-2023_15-17-04,True
IMG_1085,Nirmalka,22-12-2023_15-17-04,True
IMG_1079,Nirmalka,23-12-2023_15-21-58,True
IMG_1082,Nirmalka,23-12-2023_15-21-58,True
IMG_1084,Nirmalka,23-12-2023_15-21-58,True
IMG_0016,etaylor,29-12-2023_17-45-57,True
IMG_0017,etaylor,29-12-2023_17-45-57,True
IMG_0540,dorins,22-12-2023_15-09-14,True
IMG_0542,dorins,22-12-2023_15-09-14,True
IMG_0543,dorins,22-12-2023_15-09-14,True
IMG_0545,dorins,22-12-2023_15-09-14,True
IMG_0546,dorins,22-12-2023_15-09-14,True
IMG_0547,dorins,22-12-2023_15-09-14,True
IMG_2242,dorins,22-12-2023_15-09-14,True
IMG_2285,Nirmalka,23-12-2023_15-21-58,True
IMG_test,etaylor,15-04-2024_18-51-22,True
IMG_0030,Nirmalka,16-04-2024_18-43-36,False
IMG_0586,Nirmalka,16-04-2024_18-43-36,False
IMG_2250,Nirmalka,16-04-2024_18-43-36,False
IMG_1119,Nirmalka,16-04-2024_18-43-36,False
IMG_0591,Nirmalka,16-04-2024_18-43-36,False
IMG_2257,Nirmalka,16-04-2024_18-43-36,False
IMG_1133,Nirmalka,16-04-2024_18-43-36,False
IMG_0638,Nirmalka,16-04-2024_18-43-36,False
IMG_1768,Nirmalka,16-04-2024_18-43-36,False
IMG_1132,Nirmalka,16-04-2024_18-43-36,False
IMG_1130,Nirmalka,16-04-2024_18-43-36,False
IMG_0041,Nirmalka,16-04-2024_18-43-36,False
IMG_1840,Nirmalka,16-04-2024_18-43-36,False
IMG_1835,Nirmalka,16-04-2024_18-43-36,False
IMG_2149,Nirmalka,16-04-2024_18-43-36,False
IMG_0652,Nirmalka,16-04-2024_18-43-36,False
IMG_2304,Nirmalka,16-04-2024_18-43-36,False
IMG_0580,Nirmalka,16-04-2024_18-43-36,False
IMG_0633,Nirmalka,16-04-2024_18-43-36,False
IMG_0033,Nirmalka,16-04-2024_18-43-36,False
IMG_0062,Nirmalka,16-04-2024_18-43-36,False
IMG_1867,Nirmalka,16-04-2024_18-43-36,False
IMG_1161,Nirmalka,16-04-2024_18-43-36,False
IMG_2210,Nirmalka,16-04-2024_18-43-36,False
IMG_2234,Nirmalka,16-04-2024_18-43-36,False
IMG_1117,Nirmalka,16-04-2024_18-43-36,False
IMG_1834,Nirmalka,16-04-2024_18-43-36,False
IMG_0573,Nirmalka,16-04-2024_18-43-36,False
IMG_1778,Nirmalka,16-04-2024_18-43-36,False
IMG_0649,Nirmalka,16-04-2024_18-43-36,False
IMG_0022,Nirmalka,16-04-2024_18-43-36,False
IMG_1838,Nirmalka,16-04-2024_18-43-36,False
IMG_1823,Nirmalka,16-04-2024_18-43-36,False
IMG_1868,Nirmalka,16-04-2024_18-43-36,False
IMG_1112,Nirmalka,16-04-2024_18-43-36,False
IMG_1094,Nirmalka,16-04-2024_18-43-36,False
IMG_1799,Nirmalka,16-04-2024_18-43-36,False
