patch_name,y,x
IMG_2129_p0.png,0,0
IMG_2129_p1.png,0,512
IMG_2129_p2.png,512,512
IMG_2129_p3.png,512,1024
IMG_2129_p4.png,1024,512
IMG_2129_p5.png,1024,1024
IMG_2129_p6.png,1024,1536
IMG_2129_p7.png,1536,1024
IMG_2129_p8.png,1536,1536
IMG_2129_p9.png,2048,2048
IMG_2129_p10.png,2048,2560
IMG_2144_p0.png,0,1024
IMG_2144_p1.png,0,1536
IMG_2144_p2.png,0,2048
IMG_2144_p3.png,512,2560
IMG_2144_p4.png,512,3072
IMG_2144_p5.png,1024,1536
IMG_2144_p6.png,1024,2560
IMG_2144_p7.png,1024,3072
IMG_2144_p8.png,1536,0
IMG_2144_p9.png,1536,1024
IMG_2144_p10.png,1536,2560
IMG_2144_p11.png,1536,3072
IMG_2144_p12.png,2048,1024
IMG_2144_p13.png,2048,1536
IMG_2144_p14.png,2048,2560
IMG_2113_p0.png,512,3072
IMG_2113_p1.png,1024,2560
IMG_2113_p2.png,1024,3072
IMG_2113_p3.png,1536,2048
IMG_2113_p4.png,1536,2560
IMG_2113_p5.png,1536,3072
IMG_2113_p6.png,2048,1024
IMG_2113_p7.png,2048,1536
IMG_2113_p8.png,2048,2048
IMG_2113_p9.png,2048,2560
IMG_2113_p10.png,2048,3072
IMG_2220_p0.png,0,1024
IMG_2220_p1.png,0,2560
IMG_2220_p2.png,0,3072
IMG_2220_p3.png,512,0
IMG_2220_p4.png,512,1024
IMG_2220_p5.png,512,2560
IMG_2220_p6.png,1024,0
IMG_2220_p7.png,1024,1024
IMG_2220_p8.png,1024,2048
IMG_2220_p9.png,1536,2048
IMG_2220_p10.png,1536,2560
IMG_2220_p11.png,2048,512
IMG_2140_p0.png,0,1536
IMG_2140_p1.png,0,2048
IMG_2140_p2.png,512,1536
IMG_2140_p3.png,512,2048
IMG_2140_p4.png,512,3072
IMG_2140_p5.png,1024,2048
IMG_2140_p6.png,1024,2560
IMG_2140_p7.png,1536,0
IMG_2140_p8.png,1536,2560
IMG_2140_p9.png,1536,3072
IMG_2140_p10.png,2048,2560
IMG_2140_p11.png,2048,3072
IMG_2221_p0.png,0,1024
IMG_2221_p1.png,0,2048
IMG_2221_p2.png,0,2560
IMG_2221_p3.png,0,3072
IMG_2221_p4.png,512,1024
IMG_2221_p5.png,512,1536
IMG_2221_p6.png,512,2048
IMG_2221_p7.png,512,2560
IMG_2221_p8.png,1024,512
IMG_2221_p9.png,1024,2048
IMG_2221_p10.png,1536,0
IMG_2221_p11.png,1536,3072
IMG_2221_p12.png,2048,0
IMG_2221_p13.png,2048,1024
IMG_2221_p14.png,2048,3072
IMG_2274_p0.png,0,512
IMG_2274_p1.png,0,1024
IMG_2274_p2.png,0,1536
IMG_2274_p3.png,0,2048
IMG_2274_p4.png,512,0
IMG_2274_p5.png,512,512
IMG_2274_p6.png,512,1024
IMG_2274_p7.png,512,1536
IMG_2274_p8.png,1536,1536
IMG_2274_p9.png,1536,2048
IMG_2274_p10.png,1536,2560
IMG_2274_p11.png,2048,1536
IMG_2274_p12.png,2048,2560
IMG_2273_p0.png,0,1024
IMG_2273_p1.png,0,1536
IMG_2273_p2.png,0,2048
IMG_2273_p3.png,512,0
IMG_2273_p4.png,512,512
IMG_2273_p5.png,512,1536
IMG_2273_p6.png,1024,1536
IMG_2273_p7.png,1536,1536
IMG_2273_p8.png,2048,1024
IMG_2273_p9.png,2048,2560
IMG_2273_p10.png,2048,3072
IMG_2204_p0.png,0,2048
IMG_2204_p1.png,0,2560
IMG_2204_p2.png,0,3072
IMG_2204_p3.png,512,2560
IMG_2204_p4.png,512,3072
IMG_2204_p5.png,1024,2048
IMG_2204_p6.png,1024,2560
IMG_2204_p7.png,1536,1536
IMG_2204_p8.png,1536,2048
IMG_2143_p0.png,0,2048
IMG_2143_p1.png,512,1536
IMG_2143_p2.png,512,2048
IMG_2143_p3.png,1024,1536
IMG_2143_p4.png,1024,2048
IMG_2143_p5.png,1536,1536
IMG_2143_p6.png,1536,2048
IMG_2143_p7.png,2048,1024
IMG_2143_p8.png,2048,1536
IMG_2130_p0.png,512,1024
IMG_2130_p1.png,512,1536
IMG_2130_p2.png,1024,1536
IMG_2130_p3.png,1024,2048
IMG_2130_p4.png,1536,1536
IMG_2130_p5.png,1536,2048
IMG_2130_p6.png,1536,2560
IMG_2130_p7.png,2048,1536
IMG_2130_p8.png,2048,2048
IMG_2130_p9.png,2048,2560
IMG_2141_p0.png,0,2048
IMG_2141_p1.png,0,2560
IMG_2141_p2.png,512,1536
IMG_2141_p3.png,512,2048
IMG_2141_p4.png,512,2560
IMG_2141_p5.png,1024,1536
IMG_2141_p6.png,1024,2048
IMG_2141_p7.png,1024,2560
IMG_2141_p8.png,1536,1536
IMG_2141_p9.png,1536,2048
IMG_2141_p10.png,1536,2560
IMG_2141_p11.png,1536,3072
IMG_2141_p12.png,2048,2048
IMG_2141_p13.png,2048,2560
IMG_2141_p14.png,2048,3072
IMG_2146_p0.png,0,512
IMG_2146_p1.png,0,1024
IMG_2146_p2.png,0,1536
IMG_2146_p3.png,512,512
IMG_2146_p4.png,512,1024
IMG_2146_p5.png,512,1536
IMG_2146_p6.png,1024,512
IMG_2146_p7.png,1024,1024
IMG_2146_p8.png,1536,1024
IMG_2146_p9.png,1536,1536
IMG_2146_p10.png,1536,2048
IMG_2146_p11.png,2048,1024
IMG_2146_p12.png,2048,1536
IMG_2146_p13.png,2048,2048
IMG_2146_p14.png,2048,3072
IMG_2145_p0.png,0,0
IMG_2145_p1.png,0,512
IMG_2145_p2.png,512,0
IMG_2145_p3.png,512,512
IMG_2145_p4.png,1024,512
IMG_2145_p5.png,1024,1024
IMG_2145_p6.png,1024,1536
IMG_2145_p7.png,1536,512
IMG_2145_p8.png,1536,1024
IMG_2145_p9.png,1536,1536
IMG_2145_p10.png,2048,0
IMG_2145_p11.png,2048,512
IMG_2145_p12.png,2048,1024
IMG_2145_p13.png,2048,3072
IMG_2270_p0.png,0,1024
IMG_2270_p1.png,0,2048
IMG_2270_p2.png,512,512
IMG_2270_p3.png,1024,1024
IMG_2270_p4.png,1024,1536
IMG_2270_p5.png,1024,2048
IMG_2270_p6.png,1536,1024
IMG_2270_p7.png,1536,1536
IMG_2270_p8.png,2048,1536
IMG_2270_p9.png,2560,512
IMG_2270_p10.png,2560,1536
IMG_2270_p11.png,2560,2048
IMG_2270_p12.png,3072,1024
IMG_2270_p13.png,3072,1536
IMG_2238_p0.png,512,2048
IMG_2238_p1.png,1024,1024
IMG_2238_p2.png,1024,1536
IMG_2238_p3.png,1024,2048
IMG_2238_p4.png,1536,1024
IMG_2238_p5.png,1536,1536
IMG_2238_p6.png,1536,2048
IMG_2238_p7.png,2048,0
IMG_2238_p8.png,2048,1024
IMG_2238_p9.png,2048,1536
IMG_2238_p10.png,2048,2048
IMG_2128_p0.png,512,1536
IMG_2128_p1.png,1024,1024
IMG_2128_p2.png,1024,1536
IMG_2128_p3.png,1024,2048
IMG_2128_p4.png,1024,2560
IMG_2128_p5.png,1536,1536
IMG_2128_p6.png,1536,2048
IMG_2128_p7.png,1536,2560
IMG_2128_p8.png,1536,3072
IMG_2128_p9.png,2048,2560
IMG_2128_p10.png,2048,3072
IMG_2215_p0.png,0,1536
IMG_2215_p1.png,1024,1024
IMG_2215_p2.png,1024,1536
IMG_2215_p3.png,1024,2048
IMG_2215_p4.png,1536,512
IMG_2215_p5.png,1536,1024
IMG_2215_p6.png,1536,1536
IMG_2215_p7.png,2048,1024
IMG_2215_p8.png,2048,1536
IMG_2215_p9.png,2048,2048
IMG_2235_p0.png,1024,1024
IMG_2235_p1.png,1024,2560
IMG_2235_p2.png,1536,512
IMG_2235_p3.png,1536,1024
IMG_2235_p4.png,1536,2560
IMG_2235_p5.png,2048,512
IMG_2235_p6.png,2048,1024
IMG_2235_p7.png,2048,1536
IMG_2217_p0.png,512,2560
IMG_2217_p1.png,512,3072
IMG_2217_p2.png,1024,2048
IMG_2217_p3.png,1024,2560
IMG_2217_p4.png,1536,512
IMG_2217_p5.png,1536,1024
IMG_2217_p6.png,1536,1536
IMG_2217_p7.png,1536,2048
IMG_2217_p8.png,1536,2560
IMG_2217_p9.png,2048,1536
IMG_2217_p10.png,2048,2048
IMG_2217_p11.png,2048,2560
IMG_2217_p12.png,2048,3072
IMG_2278_p0.png,0,2560
IMG_2278_p1.png,0,3072
IMG_2278_p2.png,512,2048
IMG_2278_p3.png,512,2560
IMG_2278_p4.png,1024,1536
IMG_2278_p5.png,1024,2048
IMG_2278_p6.png,1536,512
IMG_2278_p7.png,1536,1536
IMG_2278_p8.png,1536,2048
IMG_2278_p9.png,1536,2560
IMG_2278_p10.png,1536,3072
IMG_2278_p11.png,2048,512
IMG_2278_p12.png,2048,1536
IMG_2278_p13.png,2048,2048
IMG_2127_p0.png,512,1536
IMG_2127_p1.png,1024,1536
IMG_2127_p2.png,1024,2048
IMG_2127_p3.png,1536,2048
IMG_2127_p4.png,1536,3072
IMG_2127_p5.png,2048,512
IMG_2127_p6.png,2048,1024
IMG_2127_p7.png,2048,1536
IMG_2127_p8.png,2048,3072
IMG_2234_p0.png,0,1536
IMG_2234_p1.png,0,3072
IMG_2234_p2.png,512,1024
IMG_2234_p3.png,512,1536
IMG_2234_p4.png,512,2048
IMG_2234_p5.png,512,3072
IMG_2234_p6.png,1024,1024
IMG_2234_p7.png,1024,1536
IMG_2234_p8.png,1536,1024
IMG_2234_p9.png,1536,1536
IMG_2234_p10.png,1536,2048
IMG_2234_p11.png,2048,1536
IMG_2234_p12.png,2048,2048
IMG_2223_p0.png,0,1536
IMG_2223_p1.png,512,1536
IMG_2223_p2.png,512,2048
IMG_2223_p3.png,1024,0
IMG_2223_p4.png,1024,1536
IMG_2223_p5.png,1024,2048
IMG_2223_p6.png,1024,2560
IMG_2223_p7.png,1536,0
IMG_2223_p8.png,1536,512
IMG_2223_p9.png,1536,1536
IMG_2223_p10.png,2048,2560
IMG_2213_p0.png,1024,0
IMG_2213_p1.png,1024,512
IMG_2213_p2.png,1024,1024
IMG_2213_p3.png,1024,1536
IMG_2213_p4.png,1536,0
IMG_2213_p5.png,1536,512
IMG_2213_p6.png,1536,1024
IMG_2213_p7.png,1536,1536
IMG_2213_p8.png,2048,0
IMG_2213_p9.png,2048,512
IMG_2213_p10.png,2048,1024
IMG_2216_p0.png,0,1024
IMG_2216_p1.png,0,1536
IMG_2216_p2.png,0,2048
IMG_2216_p3.png,512,1536
IMG_2216_p4.png,1024,1024
IMG_2216_p5.png,1024,1536
IMG_2216_p6.png,1024,2048
IMG_2216_p7.png,1536,512
IMG_2216_p8.png,1536,2048
IMG_2216_p9.png,2048,1024
IMG_2216_p10.png,2048,1536
IMG_2216_p11.png,2048,2048
IMG_2169_p0.png,0,0
IMG_2169_p1.png,0,512
IMG_2169_p2.png,512,0
IMG_2169_p3.png,512,512
IMG_2169_p4.png,512,1024
IMG_2169_p5.png,1024,1024
IMG_2169_p6.png,1024,1536
IMG_2169_p7.png,1024,2560
IMG_2169_p8.png,1024,3072
IMG_2169_p9.png,1536,1024
IMG_2169_p10.png,1536,1536
IMG_2169_p11.png,1536,2560
IMG_2169_p12.png,2048,1024
IMG_2169_p13.png,2048,1536
IMG_2169_p14.png,2048,2048
IMG_2257_p0.png,0,2560
IMG_2257_p1.png,512,2048
IMG_2257_p2.png,512,2560
IMG_2257_p3.png,1024,1536
IMG_2257_p4.png,1024,2048
IMG_2257_p5.png,1024,2560
IMG_2257_p6.png,1536,1536
IMG_2257_p7.png,1536,2048
IMG_2257_p8.png,1536,2560
IMG_2257_p9.png,2048,2048
IMG_2257_p10.png,2048,2560
IMG_2276_p0.png,0,512
IMG_2276_p1.png,0,1536
IMG_2276_p2.png,0,2048
IMG_2276_p3.png,512,1536
IMG_2276_p4.png,512,2048
IMG_2276_p5.png,512,2560
IMG_2276_p6.png,512,3072
IMG_2276_p7.png,1024,3072
IMG_2276_p8.png,1536,3072
IMG_2276_p9.png,2048,1536
IMG_2276_p10.png,2048,2048
IMG_2276_p11.png,2048,2560
IMG_2276_p12.png,2048,3072
IMG_2222_p0.png,1024,2048
IMG_2222_p1.png,1024,2560
IMG_2222_p2.png,1024,3072
IMG_2222_p3.png,1536,512
IMG_2222_p4.png,1536,1024
IMG_2222_p5.png,1536,1536
IMG_2222_p6.png,1536,2048
IMG_2222_p7.png,1536,2560
IMG_2222_p8.png,2048,512
IMG_2222_p9.png,2048,1024
IMG_2222_p10.png,2048,1536
IMG_2222_p11.png,2048,2048
IMG_2222_p12.png,2048,2560
IMG_2224_p0.png,0,2048
IMG_2224_p1.png,512,512
IMG_2224_p2.png,512,1024
IMG_2224_p3.png,1024,512
IMG_2224_p4.png,1024,1024
IMG_2224_p5.png,1536,0
IMG_2224_p6.png,1536,512
IMG_2224_p7.png,1536,1024
IMG_2224_p8.png,1536,2560
IMG_2224_p9.png,2048,0
IMG_2224_p10.png,2048,2048
IMG_2224_p11.png,2048,2560
IMG_2206_p0.png,0,0
IMG_2206_p1.png,512,0
IMG_2206_p2.png,512,512
IMG_2206_p3.png,1024,0
IMG_2206_p4.png,1024,512
IMG_2206_p5.png,1024,1536
IMG_2206_p6.png,1024,2048
IMG_2206_p7.png,1536,512
IMG_2206_p8.png,1536,1024
IMG_2206_p9.png,1536,1536
IMG_2206_p10.png,2048,1536
IMG_2297_p0.png,0,1024
IMG_2297_p1.png,512,1024
IMG_2297_p2.png,1024,1024
IMG_2297_p3.png,1024,1536
IMG_2297_p4.png,1536,0
IMG_2297_p5.png,1536,512
IMG_2297_p6.png,1536,1024
IMG_2297_p7.png,1536,1536
IMG_2297_p8.png,1536,2048
IMG_2297_p9.png,2048,0
IMG_2297_p10.png,2048,512
IMG_2297_p11.png,2048,1024
IMG_2297_p12.png,2048,1536
IMG_2297_p13.png,2048,2048
IMG_2210_p0.png,512,1024
IMG_2210_p1.png,512,1536
IMG_2210_p2.png,1024,512
IMG_2210_p3.png,1024,1024
IMG_2210_p4.png,1024,2560
IMG_2210_p5.png,1536,0
IMG_2210_p6.png,1536,2560
IMG_2210_p7.png,1536,3072
IMG_2210_p8.png,2048,0
IMG_2210_p9.png,2048,2560
IMG_2210_p10.png,2048,3072
IMG_2219_p0.png,0,512
IMG_2219_p1.png,0,1024
IMG_2219_p2.png,512,1024
IMG_2219_p3.png,1024,1024
IMG_2219_p4.png,1024,2048
IMG_2219_p5.png,1024,3072
IMG_2219_p6.png,1536,0
IMG_2219_p7.png,1536,2048
IMG_2219_p8.png,1536,2560
IMG_2219_p9.png,1536,3072
IMG_2219_p10.png,2048,2560
IMG_2219_p11.png,2048,3072
IMG_2132_p0.png,1024,1024
IMG_2132_p1.png,1536,1024
IMG_2132_p2.png,1536,1536
IMG_2132_p3.png,1536,2048
IMG_2132_p4.png,2048,512
IMG_2132_p5.png,2048,1024
IMG_2132_p6.png,2048,1536
IMG_2132_p7.png,2048,2048
IMG_2225_p0.png,512,3072
IMG_2225_p1.png,1024,1536
IMG_2225_p2.png,1024,2048
IMG_2225_p3.png,1024,2560
IMG_2225_p4.png,1024,3072
IMG_2225_p5.png,1536,512
IMG_2225_p6.png,1536,1536
IMG_2225_p7.png,2048,0
IMG_2225_p8.png,2048,512
IMG_2225_p9.png,2048,1536
IMG_2225_p10.png,2048,2560
IMG_2225_p11.png,2048,3072
IMG_2227_p0.png,512,3072
IMG_2227_p1.png,1024,3072
IMG_2227_p2.png,1536,2560
IMG_2227_p3.png,1536,3072
IMG_2227_p4.png,2048,3072
IMG_2131_p0.png,0,1024
IMG_2131_p1.png,0,1536
IMG_2131_p2.png,0,2048
IMG_2131_p3.png,1024,1536
IMG_2131_p4.png,1024,2048
IMG_2131_p5.png,1024,2560
IMG_2131_p6.png,1536,1024
IMG_2131_p7.png,1536,1536
IMG_2131_p8.png,1536,2048
IMG_2131_p9.png,1536,2560
IMG_2131_p10.png,1536,3072
IMG_2131_p11.png,2048,1536
IMG_2131_p12.png,2048,2048
IMG_2131_p13.png,2048,2560
IMG_2218_p0.png,0,3072
IMG_2218_p1.png,512,1536
IMG_2218_p2.png,512,2048
IMG_2218_p3.png,1024,1536
IMG_2218_p4.png,1024,2048
IMG_2218_p5.png,1536,1024
IMG_2218_p6.png,1536,1536
IMG_2218_p7.png,1536,2048
IMG_2218_p8.png,1536,3072
IMG_2218_p9.png,2048,512
IMG_2147_p0.png,512,512
IMG_2147_p1.png,512,1024
IMG_2147_p2.png,512,2048
IMG_2147_p3.png,1024,0
IMG_2147_p4.png,1024,512
IMG_2147_p5.png,1024,1024
IMG_2147_p6.png,1024,1536
IMG_2147_p7.png,1536,512
IMG_2147_p8.png,1536,1024
IMG_2147_p9.png,1536,1536
IMG_2147_p10.png,2048,1024
IMG_2147_p11.png,2048,1536
IMG_2149_p0.png,1024,0
IMG_2149_p1.png,1024,512
IMG_2149_p2.png,1024,1024
IMG_2149_p3.png,1536,0
IMG_2149_p4.png,1536,512
IMG_2149_p5.png,1536,1024
IMG_2149_p6.png,2048,0
IMG_2149_p7.png,2048,512
IMG_2149_p8.png,2048,1024
IMG_2149_p9.png,2048,2560
IMG_2214_p0.png,512,1024
IMG_2214_p1.png,1024,0
IMG_2214_p2.png,1024,512
IMG_2214_p3.png,1024,1024
IMG_2214_p4.png,1024,1536
IMG_2214_p5.png,1536,0
IMG_2214_p6.png,1536,512
IMG_2214_p7.png,1536,1536
IMG_2214_p8.png,2048,0
IMG_2214_p9.png,2048,512
IMG_2214_p10.png,2048,1024
IMG_2226_p0.png,512,2048
IMG_2226_p1.png,512,2560
IMG_2226_p2.png,1024,1536
IMG_2226_p3.png,1024,2048
IMG_2226_p4.png,1536,512
IMG_2226_p5.png,1536,1024
IMG_2226_p6.png,1536,2048
IMG_2226_p7.png,1536,2560
IMG_2226_p8.png,1536,3072
IMG_2226_p9.png,2048,512
IMG_2226_p10.png,2048,1024
IMG_2226_p11.png,2048,2048
IMG_2226_p12.png,2048,2560
IMG_2226_p13.png,2048,3072
IMG_2228_p0.png,512,1024
IMG_2228_p1.png,512,1536
IMG_2228_p2.png,1024,1024
IMG_2228_p3.png,1024,1536
IMG_2228_p4.png,1536,1024
IMG_2228_p5.png,1536,1536
IMG_2228_p6.png,1536,2048
IMG_2228_p7.png,2048,1536
IMG_2228_p8.png,2048,2048
IMG_2295_p0.png,512,512
IMG_2295_p1.png,512,1024
IMG_2295_p2.png,512,1536
IMG_2295_p3.png,512,2048
IMG_2295_p4.png,1024,1024
IMG_2295_p5.png,1024,1536
IMG_2295_p6.png,1024,2048
IMG_2295_p7.png,1536,512
IMG_2295_p8.png,1536,1024
IMG_2295_p9.png,1536,2048
IMG_2295_p10.png,1536,2560
IMG_2295_p11.png,2048,1024
IMG_2295_p12.png,2048,2560
IMG_2285_p0.png,1024,512
IMG_2285_p1.png,1024,1536
IMG_2285_p2.png,1024,2560
IMG_2285_p3.png,1024,3072
IMG_2285_p4.png,1536,512
IMG_2285_p5.png,1536,1024
