dataset,model,precision,recall,precision_macro,recall_macro,precision_per_class,recall_per_class,accuracy,confusion_matrix
train_set_1,alexnet,0.8188775510204082,0.8188775510204082,0.8192848020434227,0.8188775510204082,[0.83068783 0.80788177],[0.80102041 0.83673469],0.8188775510204082,"[[157  39]
 [ 32 164]]"
train_set_1,resnet34,0.8086734693877551,0.8086734693877551,0.8090676883780332,0.8086734693877551,[0.79802956 0.82010582],[0.82653061 0.79081633],0.8086734693877551,"[[162  34]
 [ 41 155]]"
train_set_1,efficientnet_b0,0.7602040816326531,0.7602040816326531,0.7619496855345912,0.760204081632653,[0.74056604 0.78333333],[0.80102041 0.71938776],0.7602040816326531,"[[157  39]
 [ 55 141]]"
train_set_1,efficientnet_b1,0.7678571428571429,0.7678571428571429,0.7681992337164751,0.7678571428571428,[0.75862069 0.77777778],[0.78571429 0.75      ],0.7678571428571429,"[[154  42]
 [ 49 147]]"
train_set_2,alexnet,0.8188775510204082,0.8188775510204082,0.8189522743249928,0.8188775510204082,[0.8238342  0.81407035],[0.81122449 0.82653061],0.8188775510204082,"[[159  37]
 [ 34 162]]"
train_set_2,resnet34,0.8163265306122449,0.8163265306122449,0.8163594709986463,0.8163265306122449,[0.81958763 0.81313131],[0.81122449 0.82142857],0.8163265306122449,"[[159  37]
 [ 35 161]]"
train_set_2,efficientnet_b0,0.7882653061224489,0.7882653061224489,0.7884530228438957,0.7882653061224489,[0.78109453 0.79581152],[0.80102041 0.7755102 ],0.7882653061224489,"[[157  39]
 [ 44 152]]"
train_set_2,efficientnet_b1,0.7780612244897959,0.7780612244897959,0.778939809374592,0.778061224489796,[0.79459459 0.76328502],[0.75       0.80612245],0.7780612244897959,"[[147  49]
 [ 38 158]]"
train_set_3,alexnet,0.8392857142857143,0.8392857142857143,0.8392945464011454,0.8392857142857143,[0.84102564 0.83756345],[0.83673469 0.84183673],0.8392857142857143,"[[164  32]
 [ 31 165]]"
train_set_3,resnet34,0.8341836734693877,0.8341836734693877,0.834610472541507,0.8341836734693877,[0.8226601  0.84656085],[0.85204082 0.81632653],0.8341836734693877,"[[167  29]
 [ 36 160]]"
train_set_3,efficientnet_b0,0.8367346938775511,0.8367346938775511,0.836875,0.8367346938775511,[0.83    0.84375],[0.84693878 0.82653061],0.8367346938775511,"[[166  30]
 [ 34 162]]"
train_set_3,efficientnet_b1,0.7831632653061225,0.7831632653061225,0.7837615755836702,0.7831632653061225,[0.77073171 0.79679144],[0.80612245 0.76020408],0.7831632653061225,"[[158  38]
 [ 47 149]]"
train_set_4,alexnet,0.8239795918367347,0.8239795918367347,0.8241905654971218,0.8239795918367347,[0.83246073 0.8159204 ],[0.81122449 0.83673469],0.8239795918367347,"[[159  37]
 [ 32 164]]"
train_set_4,resnet34,0.8188775510204082,0.8188775510204082,0.8212946206100664,0.8188775510204082,[0.79342723 0.84916201],[0.8622449 0.7755102],0.8188775510204082,"[[169  27]
 [ 44 152]]"
train_set_4,efficientnet_b0,0.7448979591836735,0.7448979591836735,0.7474747474747474,0.7448979591836735,[0.72222222 0.77272727],[0.79591837 0.69387755],0.7448979591836735,"[[156  40]
 [ 60 136]]"
train_set_4,efficientnet_b1,0.7755102040816326,0.7755102040816326,0.78125,0.7755102040816326,[0.74107143 0.82142857],[0.84693878 0.70408163],0.7755102040816326,"[[166  30]
 [ 58 138]]"
train_set_5,alexnet,0.8418367346938775,0.8418367346938775,0.8421573736321,0.8418367346938775,[0.85263158 0.83168317],[0.82653061 0.85714286],0.8418367346938775,"[[162  34]
 [ 28 168]]"
train_set_5,resnet34,0.8392857142857143,0.8392857142857143,0.8392945464011454,0.8392857142857143,[0.83756345 0.84102564],[0.84183673 0.83673469],0.8392857142857143,"[[165  31]
 [ 32 164]]"
train_set_5,efficientnet_b0,0.7780612244897959,0.7780612244897959,0.7780684628400365,0.778061224489796,[0.77664975 0.77948718],[0.78061224 0.7755102 ],0.7780612244897959,"[[153  43]
 [ 44 152]]"
train_set_5,efficientnet_b1,0.7653061224489796,0.7653061224489796,0.7657488527325824,0.7653061224489797,[0.77659574 0.75490196],[0.74489796 0.78571429],0.7653061224489796,"[[146  50]
 [ 42 154]]"
