Model Name,Model Size,Average Accuracy,Average Precision,Average Recall,Average f1,Average Confusion Matrix
YOLOv8,Nano,0.8525510204081632,0.8549593790953793,0.8525510204081632,0.852287358115009,"[[      161.2        34.8]
 [         23         173]]"
YOLOv8,Small,0.8413265306122449,0.8464990189304018,0.8413265306122449,0.8406797553715947,"[[      153.8        42.2]
 [         20         176]]"
YOLOv8,Medium,0.8392857142857142,0.8462309174753196,0.8392857142857142,0.8384143300723078,"[[      151.6        44.4]
 [       18.6       177.4]]"
YOLOv8,Large,0.8576530612244897,0.8603364016192794,0.8576530612244897,0.8573844621125101,"[[        160          36]
 [       19.8       176.2]]"
YOLOv8,XLarge,0.8474489795918367,0.854074260533617,0.8474489795918367,0.8466859569263905,"[[      154.6        41.4]
 [       18.4       177.6]]"
YOLOv11,Nano,0.8326530612244898,0.8391474552149415,0.8326530612244898,0.8316610176450977,"[[      151.4        44.6]
 [         21         175]]"
YOLOv11,Small,0.8403061224489796,0.8456578461091329,0.8403061224489796,0.839641529100204,"[[        154          42]
 [       20.6       175.4]]"
YOLOv11,Medium,0.8285714285714285,0.8389521881513738,0.8285714285714285,0.8272429358670174,"[[      145.6        50.4]
 [       16.8       179.2]]"
YOLOv11,Large,0.838265306122449,0.8491540216189017,0.838265306122449,0.8368316202144225,"[[      148.2        47.8]
 [       15.6       180.4]]"
YOLOv11,XLarge,0.8438775510204082,0.8546567599169619,0.8438775510204082,0.842587596045972,"[[      149.4        46.6]
 [       14.6       181.4]]"
