dataset,model,precision,recall,precision_macro,recall_macro,precision_per_class,recall_per_class,accuracy,confusion_matrix
train_set_1,alexnet,0.9018867924528302,0.9018867924528302,0.854603948025987,0.880092192451743,[0.90217391 0.72413793 0.9375    ],[0.93258427 0.80769231 0.9       ],0.9018867924528302,"[[ 83   2   4]
 [  0  21   5]
 [  9   6 135]]"
train_set_1,resnet34,0.879245283018868,0.879245283018868,0.800027570995313,0.8743743397675982,[0.94623656 0.5        0.95384615],[0.98876404 0.80769231 0.82666667],0.879245283018868,"[[ 88   0   1]
 [  0  21   5]
 [  5  21 124]]"
train_set_1,efficientnet_b0,0.7433962264150943,0.7433962264150943,0.681989247311828,0.7519177950638625,[0.87096774 0.3        0.875     ],[0.91011236 0.69230769 0.65333333],0.7433962264150943,"[[81  2  6]
 [ 0 18  8]
 [12 40 98]]"
train_set_1,efficientnet_b1,0.8603773584905661,0.8603773584905661,0.7733515593399075,0.8238528762124268,[0.95402299 0.43902439 0.9270073 ],[0.93258427 0.69230769 0.84666667],0.8603773584905661,"[[ 83   3   3]
 [  1  18   7]
 [  3  20 127]]"
train_set_2,alexnet,0.9320754716981132,0.9320754716981132,0.8954064634349493,0.9236358398156151,[0.93478261 0.79310345 0.95833333],[0.96629213 0.88461538 0.92      ],0.9320754716981132,"[[ 86   0   3]
 [  0  23   3]
 [  6   6 138]]"
train_set_2,resnet34,0.8716981132075472,0.8716981132075472,0.7968636350411685,0.85476231633535,[0.89473684 0.55555556 0.94029851],[0.95505618 0.76923077 0.84      ],0.8716981132075472,"[[ 85   2   2]
 [  0  20   6]
 [ 10  14 126]]"
train_set_2,efficientnet_b0,0.7584905660377359,0.7584905660377359,0.6953455760720794,0.7880956496686834,[0.79439252 0.37735849 0.91428571],[0.95505618 0.76923077 0.64      ],0.7584905660377359,"[[85  1  3]
 [ 0 20  6]
 [22 32 96]]"
train_set_2,efficientnet_b1,0.8301886792452831,0.8301886792452831,0.7263957283165888,0.7561298377028715,[0.89473684 0.39393939 0.89051095],[0.95505618 0.5        0.81333333],0.8301886792452831,"[[ 85   1   3]
 [  1  13  12]
 [  9  19 122]]"
train_set_3,alexnet,0.8905660377358491,0.8905660377358491,0.8274932781160182,0.9097896859694612,[0.90526316 0.61538462 0.96183206],[0.96629213 0.92307692 0.84      ],0.8905660377358491,"[[ 86   0   3]
 [  0  24   2]
 [  9  15 126]]"
train_set_3,resnet34,0.8528301886792453,0.8528301886792453,0.7841196051423324,0.8860443676174015,[0.88541667 0.5        0.96694215],[0.95505618 0.92307692 0.78      ],0.8528301886792453,"[[ 85   1   3]
 [  1  24   1]
 [ 10  23 117]]"
train_set_3,efficientnet_b0,0.7509433962264151,0.7509433962264151,0.6978958299174728,0.7896802074330164,[0.86315789 0.33333333 0.89719626],[0.92134831 0.80769231 0.64      ],0.7509433962264151,"[[82  1  6]
 [ 0 21  5]
 [13 41 96]]"
train_set_3,efficientnet_b1,0.7547169811320755,0.7547169811320755,0.6942460317460317,0.7495092672620762,[0.91111111 0.26984127 0.90178571],[0.92134831 0.65384615 0.67333333],0.7547169811320755,"[[ 82   4   3]
 [  1  17   8]
 [  7  42 101]]"
train_set_4,alexnet,0.9358490566037736,0.9358490566037736,0.8823009816013979,0.9289042542975127,[0.95652174 0.71875    0.97163121],[0.98876404 0.88461538 0.91333333],0.9358490566037736,"[[ 88   0   1]
 [  0  23   3]
 [  4   9 137]]"
train_set_4,resnet34,0.8830188679245283,0.8830188679245283,0.8092632005675484,0.8705041774704695,[0.95454545 0.53846154 0.93478261],[0.94382022 0.80769231 0.86      ],0.8830188679245283,"[[ 84   0   5]
 [  1  21   4]
 [  3  18 129]]"
train_set_4,efficientnet_b0,0.7358490566037735,0.7358490566037735,0.6831155686418845,0.7489964467492557,[0.86315789 0.27272727 0.91346154],[0.92134831 0.69230769 0.63333333],0.7358490566037735,"[[82  4  3]
 [ 2 18  6]
 [11 44 95]]"
train_set_4,efficientnet_b1,0.8377358490566038,0.8377358490566038,0.7514698212507706,0.8105195428790934,[0.90217391 0.42857143 0.92366412],[0.93258427 0.69230769 0.80666667],0.8377358490566038,"[[ 83   2   4]
 [  2  18   6]
 [  7  22 121]]"
train_set_5,alexnet,0.9169811320754717,0.9169811320754717,0.8893914807302231,0.9268683376548545,[0.87       0.82758621 0.97058824],[0.97752809 0.92307692 0.88      ],0.9169811320754717,"[[ 87   0   2]
 [  0  24   2]
 [ 13   5 132]]"
train_set_5,resnet34,0.8716981132075472,0.8716981132075472,0.7973971709746079,0.8774819936617689,[0.91489362 0.52380952 0.95348837],[0.96629213 0.84615385 0.82      ],0.8716981132075472,"[[ 86   0   3]
 [  1  22   3]
 [  7  20 123]]"
train_set_5,efficientnet_b0,0.7886792452830189,0.7886792452830189,0.7338515487093429,0.8436973014501105,[0.86315789 0.39344262 0.94495413],[0.92134831 0.92307692 0.68666667],0.7886792452830189,"[[ 82   2   5]
 [  1  24   1]
 [ 12  35 103]]"
train_set_5,efficientnet_b1,0.8226415094339623,0.8226415094339623,0.7371506138946083,0.8016306539902045,[0.89247312 0.38297872 0.936     ],[0.93258427 0.69230769 0.78      ],0.8226415094339623,"[[ 83   4   2]
 [  2  18   6]
 [  8  25 117]]"
