model,precision,recall,precision_macro,recall_macro,accuracy,precision_per_class,recall_per_class,confusion_matrix
alexnet,0.9608663181478716,0.9608663181478716,0.96121889517561,0.9608663181478715,0.9608663181478716,[0.96951535 0.95282912 0.96131222],[0.96153846 0.96534727 0.95571322],"[[60.2  1.   1. ]
 [ 0.8 60.2  1.2]
 [ 0.8  1.8 59.6]]"
resnet34,0.9460916106547174,0.9460916106547174,0.947939067170552,0.9460916106547174,0.9460916106547174,[0.96666315 0.92855398 0.94860008],[0.96146378 0.95955937 0.91725168],"[[59.8  1.   1.4]
 [ 0.6 59.8  1.8]
 [ 1.2  3.4 57.6]]"
resnet50,0.9126960418222556,0.9126960418222556,0.9167265603752284,0.9126960418222554,0.9126960418222556,[0.9649554  0.88935413 0.89587014],[0.91527259 0.92109783 0.9017177 ],"[[57.2  2.   3. ]
 [ 1.  57.8  3.4]
 [ 0.8  5.4 56. ]]"
resnet101,0.8819517052526761,0.8819517052526761,0.8847189765899557,0.8819517052526761,0.8819517052526761,[0.95897872 0.83888664 0.85629156],[0.90575056 0.89985063 0.84025392],"[[57.2  2.   3. ]
 [ 0.8 56.2  5.2]
 [ 1.2  7.8 53.2]]"
resnet152,0.8787528005974607,0.8787528005974607,0.8827588064342764,0.8787528005974607,0.8787528005974607,[0.96221202 0.83038078 0.85568362],[0.90959671 0.88450336 0.84215833],"[[57.4  2.6  2.2]
 [ 0.8 55.6  5.8]
 [ 1.2  7.8 53.2]]"
resnext50_32x4d,0.8915857605177994,0.8915857605177994,0.8931323166189633,0.8915857605177994,0.8915857605177994,[0.94313339 0.85859349 0.87767007],[0.91725168 0.89805825 0.85944735],"[[57.6  2.4  2.2]
 [ 1.  56.8  4.4]
 [ 2.   6.2 54. ]]"
resnext101_32x8d,0.9339058999253174,0.9339058999253174,0.9340946372448224,0.9339058999253174,0.9339058999253174,[0.9530687  0.92139361 0.92782161],[0.95765497 0.92684839 0.91721434],"[[59.8  1.2  1.2]
 [ 1.4 58.   2.8]
 [ 1.2  3.6 57.4]]"
wide_resnet50_2,0.8537092357480708,0.8537092357480708,0.8556484872728032,0.8537092357480708,0.8537092357480708,[0.91779213 0.81363933 0.83551401],[0.89219567 0.86911875 0.79981329],"[[56.   2.6  3.6]
 [ 2.  54.8  5.4]
 [ 2.2  9.2 50.8]]"
wide_resnet101_2,0.8761762509335325,0.8761762509335325,0.8781804334483038,0.8761762509335325,0.8761762509335325,[0.93427601 0.83626346 0.86400183],[0.90369679 0.8961165  0.82871546],"[[56.4  2.4  3.4]
 [ 1.4 56.6  4.2]
 [ 2.2  7.4 52.6]]"
vgg16_bn,0.9377520537714712,0.9377520537714712,0.9389883163859878,0.9377520537714712,0.9377520537714712,[0.96545718 0.90304125 0.94846651],[0.96728902 0.94223301 0.90373413],"[[60.4  1.   0.8]
 [ 1.2 58.8  2.2]
 [ 0.6  5.  56.6]]"
vgg19_bn,0.9166168782673637,0.9166168782673637,0.9174829218616984,0.9166168782673637,0.9166168782673637,[0.96149288 0.90403337 0.88692252],[0.95384615 0.90377147 0.89223301],"[[59.8  0.4  2. ]
 [ 1.  56.8  4.4]
 [ 1.   5.  56.2]]"
squeezenet1_1,0.941647996016928,0.941647996016928,0.9425707586855794,0.941647996016928,0.941647996016928,[0.9593436  0.93400867 0.93436   ],[0.96923077 0.92688574 0.92882748],"[[60.6  1.   0.6]
 [ 1.  58.2  3. ]
 [ 1.2  2.6 58.4]]"
densenet121,0.9454568085636048,0.9454568085636048,0.9465626022116996,0.9454568085636046,0.9454568085636048,[0.97364388 0.92844306 0.93760087],[0.97882748 0.94223301 0.91530993],"[[61.   0.4  0.8]
 [ 0.6 58.8  2.8]
 [ 0.8  4.  57.4]]"
densenet169,0.9461040577545432,0.9461040577545432,0.9469718621799206,0.9461040577545431,0.9461040577545432,[0.96426557 0.94218811 0.9344619 ],[0.96728902 0.9326363  0.93838686],"[[60.4  1.   0.8]
 [ 0.8 58.4  3. ]
 [ 1.2  2.4 58.6]]"
densenet201,0.940316156335574,0.940316156335574,0.9416823908493482,0.9403161563355737,0.940316156335574,[0.94740758 0.94693309 0.9307065 ],[0.96538462 0.93640777 0.91915609],"[[60.4  0.4  1.4]
 [ 1.  58.2  3. ]
 [ 2.   2.6 57.6]]"
