dataset,model,precision,recall,precision_macro,recall_macro,precision_per_class,recall_per_class,accuracy,confusion_matrix
train_set_1,alexnet,0.9245283018867925,0.9245283018867925,0.8722072879330943,0.90859310477288,[0.95555556 0.70967742 0.95138889],[0.96629213 0.84615385 0.91333333],0.9245283018867925,"[[ 86   0   3]
 [  0  22   4]
 [  4   9 137]]"
train_set_1,resnet34,0.8716981132075472,0.8716981132075472,0.8009085213032581,0.8819878997407087,[0.97619048 0.47916667 0.94736842],[0.92134831 0.88461538 0.84      ],0.8716981132075472,"[[ 82   3   4]
 [  0  23   3]
 [  2  22 126]]"
train_set_1,efficientnet_b0,0.8226415094339623,0.8226415094339623,0.7512801240753997,0.8303793335254009,[0.92045455 0.42       0.91338583],[0.91011236 0.80769231 0.77333333],0.8226415094339623,"[[ 81   2   6]
 [  0  21   5]
 [  7  27 116]]"
train_set_1,efficientnet_b1,0.8150943396226416,0.8150943396226416,0.7476162616575078,0.8259348890809566,[0.94186047 0.39622642 0.9047619 ],[0.91011236 0.80769231 0.76      ],0.8150943396226416,"[[ 81   1   7]
 [  0  21   5]
 [  5  31 114]]"
train_set_2,alexnet,0.8905660377358491,0.8905660377358491,0.8329701699266917,0.8628272351867858,[0.90217391 0.66666667 0.93006993],[0.93258427 0.76923077 0.88666667],0.8905660377358491,"[[ 83   2   4]
 [  0  20   6]
 [  9   8 133]]"
train_set_2,resnet34,0.8528301886792453,0.8528301886792453,0.7789438614026319,0.8375588207048882,[0.93103448 0.5        0.9057971 ],[0.91011236 0.76923077 0.83333333],0.8528301886792453,"[[ 81   1   7]
 [  0  20   6]
 [  6  19 125]]"
train_set_2,efficientnet_b0,0.8490566037735849,0.8490566037735849,0.7669343410486538,0.7823451454912128,[0.9        0.51724138 0.88356164],[0.91011236 0.57692308 0.86      ],0.8490566037735849,"[[ 81   1   7]
 [  1  15  10]
 [  8  13 129]]"
train_set_2,efficientnet_b1,0.7886792452830189,0.7886792452830189,0.7306167518948531,0.8073331412657255,[0.92941176 0.33870968 0.92372881],[0.88764045 0.80769231 0.72666667],0.7886792452830189,"[[ 79   5   5]
 [  1  21   4]
 [  5  36 109]]"
train_set_3,alexnet,0.8943396226415095,0.8943396226415095,0.8303482494437877,0.8771708441371362,[0.94382022 0.61764706 0.92957746],[0.94382022 0.80769231 0.88      ],0.8943396226415095,"[[ 84   0   5]
 [  0  21   5]
 [  5  13 132]]"
train_set_3,resnet34,0.8377358490566038,0.8377358490566038,0.771951651850514,0.8817247671180256,[0.89795918 0.44444444 0.97345133],[0.98876404 0.92307692 0.73333333],0.8377358490566038,"[[ 88   0   1]
 [  0  24   2]
 [ 10  30 110]]"
train_set_3,efficientnet_b0,0.8452830188679246,0.8452830188679246,0.7655424541933993,0.8027792182848362,[0.94936709 0.45       0.89726027],[0.84269663 0.69230769 0.87333333],0.8452830188679246,"[[ 75   6   8]
 [  1  18   7]
 [  3  16 131]]"
train_set_3,efficientnet_b1,0.8,0.8,0.7356195366464943,0.8018784212042639,[0.95121951 0.35087719 0.9047619 ],[0.87640449 0.76923077 0.76      ],0.8,"[[ 78   5   6]
 [  0  20   6]
 [  4  32 114]]"
train_set_4,alexnet,0.909433962264151,0.909433962264151,0.8439281923983235,0.8981811197541534,[0.97701149 0.61111111 0.94366197],[0.95505618 0.84615385 0.89333333],0.909433962264151,"[[ 85   0   4]
 [  0  22   4]
 [  2  14 134]]"
train_set_4,resnet34,0.8754716981132076,0.8754716981132076,0.7977483214617042,0.831218668971478,[0.95348837 0.52941176 0.91034483],[0.92134831 0.69230769 0.88      ],0.8754716981132076,"[[ 82   1   6]
 [  1  18   7]
 [  3  15 132]]"
train_set_4,efficientnet_b0,0.8075471698113208,0.8075471698113208,0.7172934160885968,0.7427331220589647,[0.93975904 0.35897436 0.85314685],[0.87640449 0.53846154 0.81333333],0.8075471698113208,"[[ 78   1  10]
 [  1  14  11]
 [  4  24 122]]"
train_set_4,efficientnet_b1,0.8339622641509434,0.8339622641509434,0.7557333730849568,0.8204187073849996,[0.96551724 0.37254902 0.92913386],[0.94382022 0.73076923 0.78666667],0.8339622641509434,"[[ 84   2   3]
 [  1  19   6]
 [  2  30 118]]"
train_set_5,alexnet,0.9132075471698113,0.9132075471698113,0.8492004972172783,0.9246461154326323,[0.94565217 0.63157895 0.97037037],[0.97752809 0.92307692 0.87333333],0.9132075471698113,"[[ 87   0   2]
 [  0  24   2]
 [  5  14 131]]"
train_set_5,resnet34,0.8377358490566038,0.8377358490566038,0.7670237391646966,0.8513896091424181,[0.91111111 0.46808511 0.921875  ],[0.92134831 0.84615385 0.78666667],0.8377358490566038,"[[ 82   0   7]
 [  1  22   3]
 [  7  25 118]]"
train_set_5,efficientnet_b0,0.8377358490566038,0.8377358490566038,0.7573804993369082,0.83476231633535,[0.90425532 0.41666667 0.95121951],[0.95505618 0.76923077 0.78      ],0.8377358490566038,"[[ 85   3   1]
 [  1  20   5]
 [  8  25 117]]"
train_set_5,efficientnet_b1,0.8226415094339623,0.8226415094339623,0.751692281851012,0.8136886584077595,[0.95061728 0.40816327 0.8962963 ],[0.86516854 0.76923077 0.80666667],0.8226415094339623,"[[ 77   4   8]
 [  0  20   6]
 [  4  25 121]]"
