Variety,Rep,Inf. Code,DAF,"Visual amber ratio
(%)",Fresh weight (gr),Dry weight (gr),Total CBD,Total THC,Total CBG,Total THCV,Total CBDV,Total CBGV,Total CBC,Total Cannabinoids,location,number,G-clear_count,G-cloudy_count,G-amber_count,G-clear_normalized,G-cloudy_normalized,G-amber_normalized,day_number,flower_index,Plant_id,VARIETY,location,number,L-clear_count,L-cloudy_count,L-amber_count,L-clear_normalized,L-cloudy_normalized,L-amber_normalized,day_number,flower_index,Plant_id
611,1,1,51,0,18.1,3.81,0.07,8.51,0.66,0.00,0.00,0.00,0.10,9.34,greenhouse,1,222,489,26,0.3012,0.6635,0.0353,1,1,1,611,,,,,,,,,,,
611,2,2,51,0,19.24,4,0.08,10.19,0.74,0.04,0.00,0.00,0.20,11.25,greenhouse,2,68,292,21,0.1785,0.7664,0.0551,1,2,2,611,,,,,,,,,,,
611,3,3,51,0,17.7,3.98,0.09,12.37,0.85,0.04,0.00,0.00,0.20,13.55,greenhouse,3,567,437,18,0.5548,0.4276,0.0176,1,3,3,611,,,,,,,,,,,
611,4,4,51,0,19.21,4.07,0.07,8.11,0.72,0.00,0.00,0.00,0.23,9.13,greenhouse,4,556,302,23,0.6311,0.3428,0.0261,1,4,4,611,,,,,,,,,,,
611,5,5,51,0,17.5,3.74,0.07,9.45,0.81,0.04,0.00,0.00,0.19,10.56,greenhouse,5,531,526,38,0.4849,0.4804,0.0347,1,5,5,611,,,,,,,,,,,
611,1,31,55,0,26.42,5.71,0.08,10.91,0.63,0.03,0.00,0.00,0.12,11.77,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,2,32,55,0,21.72,4.55,0.16,12.34,0.74,0.03,0.00,0.00,0.28,13.55,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,3,33,55,0,18.6,3.97,0.10,13.60,0.81,0.03,0.00,0.00,0.48,15.02,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,4,34,55,0,12.13,2.52,0.09,13.56,0.62,0.00,0.00,0.00,0.19,14.47,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,5,35,55,0,32.21,6.92,0.06,8.70,0.42,0.00,0.00,0.00,0.16,9.34,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,1,61,58,0,20.9,4.92,0.09,11.90,0.40,0.00,0.00,0.00,0.11,12.50,greenhouse,61,652,1251,49,0.334,0.6409,0.0251,3,121,1,611,lab,61,210,702,35,0.2218,0.7413,0.037,3,121,1
611,2,62,58,0,17.9,4.1,0.08,13.02,0.50,0.00,0.00,0.00,0.10,13.70,greenhouse,62,2036,758,28,0.7215,0.2686,0.0099,3,122,2,611,lab,62,152,114,8,0.5547,0.4161,0.0292,3,122,2
611,3,63,58,0,33.95,7.33,0.07,10.89,0.41,0.00,0.00,0.00,0.10,11.47,greenhouse,63,1178,213,5,0.8438,0.1526,0.0036,3,123,3,611,lab,63,168,505,18,0.2431,0.7308,0.026,3,123,3
611,4,64,58,0,33.11,7.5,0.07,12.20,0.51,0.00,0.00,0.00,0.11,12.90,greenhouse,64,1165,440,15,0.7191,0.2716,0.0093,3,124,4,611,lab,64,379,226,12,0.6143,0.3663,0.0194,3,124,4
