day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_1_2024_12_05,greenhouse,15,147,1575,18,0.0845,0.9052,0.0103
day_1_2024_12_05,greenhouse,14,271,1395,12,0.1615,0.8313,0.0072
day_1_2024_12_05,greenhouse,13,86,2315,43,0.0352,0.9472,0.0176
day_1_2024_12_05,greenhouse,12,165,1797,9,0.0837,0.9117,0.0046
day_1_2024_12_05,greenhouse,11,320,1129,10,0.2193,0.7738,0.0069
day_1_2024_12_05,greenhouse,10,92,2221,52,0.0389,0.9391,0.022
day_1_2024_12_05,greenhouse,9,499,2023,27,0.1958,0.7936,0.0106
day_1_2024_12_05,greenhouse,8,357,1953,26,0.1528,0.836,0.0111
day_1_2024_12_05,greenhouse,6,30,2839,68,0.0102,0.9666,0.0232
day_1_2024_12_05,greenhouse,5,248,1936,41,0.1115,0.8701,0.0184
day_1_2024_12_05,greenhouse,4,83,2400,36,0.0329,0.9528,0.0143
day_1_2024_12_05,greenhouse,3,90,3008,151,0.0277,0.9258,0.0465
day_1_2024_12_05,greenhouse,2,62,1480,34,0.0393,0.9391,0.0216
day_1_2024_12_05,greenhouse,1,47,904,6,0.0491,0.9446,0.0063
day_1_2024_12_05,lab,5,1308,2559,81,0.3313,0.6482,0.0205
day_1_2024_12_05,lab,14,489,1722,44,0.2169,0.7636,0.0195
day_1_2024_12_05,lab,3,278,1368,114,0.158,0.7773,0.0648
day_1_2024_12_05,lab,9,957,2044,78,0.3108,0.6639,0.0253
day_1_2024_12_05,lab,15,323,1179,26,0.2114,0.7716,0.017
day_1_2024_12_05,lab,11,407,918,21,0.3024,0.682,0.0156
day_1_2024_12_05,lab,12,484,1127,64,0.289,0.6728,0.0382
day_1_2024_12_05,lab,8,568,1376,47,0.2853,0.6911,0.0236
day_1_2024_12_05,lab,10,526,1580,117,0.2366,0.7108,0.0526
day_1_2024_12_05,lab,4,509,2116,63,0.1894,0.7872,0.0234
day_1_2024_12_05,lab,13,251,2384,145,0.0903,0.8576,0.0522
day_1_2024_12_05,lab,7,325,2409,49,0.1168,0.8656,0.0176
day_1_2024_12_05,lab,1,227,1088,17,0.1704,0.8168,0.0128
day_1_2024_12_05,lab,2,105,247,4,0.2949,0.6938,0.0112
day_1_2024_12_05,lab,6,112,1313,53,0.0758,0.8884,0.0359
day_2_2024_12_09,lab,30,125,332,14,0.2654,0.7049,0.0297
day_2_2024_12_09,lab,29,71,136,12,0.3242,0.621,0.0548
day_2_2024_12_09,lab,28,61,192,8,0.2337,0.7356,0.0307
day_2_2024_12_09,lab,27,251,674,16,0.2667,0.7163,0.017
day_2_2024_12_09,lab,26,187,517,16,0.2597,0.7181,0.0222
day_2_2024_12_09,lab,25,313,542,13,0.3606,0.6244,0.015
day_2_2024_12_09,lab,24,161,254,14,0.3753,0.5921,0.0326
day_2_2024_12_09,lab,23,176,317,11,0.3492,0.629,0.0218
day_2_2024_12_09,lab,22,525,125,14,0.7907,0.1883,0.0211
day_2_2024_12_09,lab,21,176,664,34,0.2014,0.7597,0.0389
day_2_2024_12_09,lab,20,678,1160,52,0.3587,0.6138,0.0275
day_2_2024_12_09,lab,19,200,828,56,0.1845,0.7638,0.0517
day_2_2024_12_09,lab,18,517,1142,65,0.2999,0.6624,0.0377
day_2_2024_12_09,lab,17,373,830,50,0.2977,0.6624,0.0399
day_2_2024_12_09,lab,16,276,486,15,0.3552,0.6255,0.0193
day_3_2024_12_12,greenhouse,45,1157,670,13,0.6288,0.3641,0.0071
day_3_2024_12_12,greenhouse,44,881,787,9,0.5253,0.4693,0.0054
day_3_2024_12_12,greenhouse,43,678,1802,59,0.267,0.7097,0.0232
