day,location,flower_id,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized,var,rep,total_cbd,total_thc,total_cbg,total_c,total_thc_next_day
1,greenhouse,15,147,1575,18,0.0845,0.9052,0.0103,616,616-8,0.27117023067963,16.47882730792513,1.1557350537158702,17.90573259232063,16.47882730792513
1,greenhouse,14,271,1395,12,0.1615,0.8313,0.0072,1416-3,1416-3-7,0.38015253090594003,15.803839270471332,1.4301545345174702,17.61414633589474,15.803839270471332
1,greenhouse,13,86,2315,43,0.0352,0.9472,0.0176,805-12,805-12-6,13.40229999449304,4.381777534495,0.90532804056291,18.68940556955095,4.381777534495
1,greenhouse,12,165,1797,9,0.0837,0.9117,0.0046,616,616-6,0.32967049782770996,16.61464282684,1.0941238141199998,18.03843713878771,16.61464282684
1,greenhouse,11,320,1129,10,0.2193,0.7738,0.0069,1416-3,1416-3-5,0.31706747513928,16.111711442649998,1.3051741373081098,17.733953055097388,16.111711442649998
1,greenhouse,10,92,2221,52,0.0389,0.9391,0.022,805-12,805-12-4,11.571504871150708,4.35081915616,0.79784132672313,16.72016535403384,4.35081915616
1,greenhouse,9,499,2023,27,0.1958,0.7936,0.0106,1416-3,1416-3-3,0.32513579140851,15.895262010222659,1.2105470706165,17.430944872247668,15.895262010222659
1,greenhouse,8,357,1953,26,0.1528,0.836,0.0111,1416-3,1416-3-2,0.30260164784715005,15.634597745430465,1.16761897539531,17.104818368672923,15.634597745430465
1,greenhouse,6,30,2839,68,0.0102,0.9666,0.0232,805-12,805-12-7,13.14869727343725,4.346347166032,0.9566027267378399,18.45164716620709,4.346347166032
1,greenhouse,5,248,1936,41,0.1115,0.8701,0.0184,1416-3,1416-3-6,0.10887872191524,7.958901887697013,0.43404932566557003,8.501829935277824,7.958901887697013
1,greenhouse,4,83,2400,36,0.0329,0.9528,0.0143,616,616-5,0.19348615929924,15.921381916660001,1.20285537000129,17.31772344596053,15.921381916660001
1,greenhouse,3,90,3008,151,0.0277,0.9258,0.0465,805-12,805-12-3,12.83941369520946,4.39059075133,0.765538379613,17.99554282615246,4.39059075133
1,greenhouse,2,62,1480,34,0.0393,0.9391,0.0216,616,616-2,0.27779745737835004,17.263690064550158,1.16157694569372,18.70306446762223,17.263690064550158
1,greenhouse,1,47,904,6,0.0491,0.9446,0.0063,616,616-1,0.32746778381412,15.569091415930002,1.16842365330066,17.064982853044782,15.569091415930002
1,lab,5,1308,2559,81,0.3313,0.6482,0.0205,1416-3,1416-3-6,0.10887872191524,7.958901887697013,0.43404932566557003,8.501829935277824,
1,lab,14,489,1722,44,0.2169,0.7636,0.0195,1416-3,1416-3-7,0.38015253090594003,15.803839270471332,1.4301545345174702,17.61414633589474,
1,lab,3,278,1368,114,0.158,0.7773,0.0648,805-12,805-12-3,12.83941369520946,4.39059075133,0.765538379613,17.99554282615246,
1,lab,9,957,2044,78,0.3108,0.6639,0.0253,1416-3,1416-3-3,0.32513579140851,15.895262010222659,1.2105470706165,17.430944872247668,
1,lab,15,323,1179,26,0.2114,0.7716,0.017,616,616-8,0.27117023067963,16.47882730792513,1.1557350537158702,17.90573259232063,
1,lab,11,407,918,21,0.3024,0.682,0.0156,1416-3,1416-3-5,0.31706747513928,16.111711442649998,1.3051741373081098,17.733953055097388,
1,lab,12,484,1127,64,0.289,0.6728,0.0382,616,616-6,0.32967049782770996,16.61464282684,1.0941238141199998,18.03843713878771,
1,lab,8,568,1376,47,0.2853,0.6911,0.0236,1416-3,1416-3-2,0.30260164784715005,15.634597745430465,1.16761897539531,17.104818368672923,
1,lab,10,526,1580,117,0.2366,0.7108,0.0526,805-12,805-12-4,11.571504871150708,4.35081915616,0.79784132672313,16.72016535403384,
1,lab,4,509,2116,63,0.1894,0.7872,0.0234,616,616-5,0.19348615929924,15.921381916660001,1.20285537000129,17.31772344596053,
1,lab,13,251,2384,145,0.0903,0.8576,0.0522,805-12,805-12-6,13.40229999449304,4.381777534495,0.90532804056291,18.68940556955095,
1,lab,7,325,2409,49,0.1168,0.8656,0.0176,805-12,805-12-1,11.968286845716541,4.331639517916,0.81319308579,17.11311944942254,
1,lab,1,227,1088,17,0.1704,0.8168,0.0128,616,616-1,0.32746778381412,15.569091415930002,1.16842365330066,17.064982853044782,
