day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_1_2024_12_05,greenhouse,15,209,1501,16,0.1211,0.8696,0.0093
day_1_2024_12_05,greenhouse,14,305,1333,7,0.1854,0.8103,0.0043
day_1_2024_12_05,greenhouse,13,141,2257,34,0.058,0.928,0.014
day_1_2024_12_05,greenhouse,12,273,1665,8,0.1403,0.8556,0.0041
day_1_2024_12_05,greenhouse,11,380,1034,15,0.2659,0.7236,0.0105
day_1_2024_12_05,greenhouse,10,131,2187,36,0.0556,0.9291,0.0153
day_1_2024_12_05,greenhouse,9,556,1918,18,0.2231,0.7697,0.0072
day_1_2024_12_05,greenhouse,8,410,1884,10,0.178,0.8177,0.0043
day_1_2024_12_05,greenhouse,6,72,2811,48,0.0246,0.9591,0.0164
day_1_2024_12_05,greenhouse,5,317,1851,27,0.1444,0.8433,0.0123
day_1_2024_12_05,greenhouse,4,159,2326,27,0.0633,0.926,0.0107
day_1_2024_12_05,greenhouse,3,134,3023,78,0.0414,0.9345,0.0241
day_1_2024_12_05,greenhouse,2,133,1415,20,0.0848,0.9024,0.0128
day_1_2024_12_05,greenhouse,1,112,832,4,0.1181,0.8776,0.0042
day_1_2024_12_05,lab,5,1950,1882,24,0.5057,0.4881,0.0062
day_1_2024_12_05,lab,14,757,1444,14,0.3418,0.6519,0.0063
day_1_2024_12_05,lab,3,384,1296,38,0.2235,0.7544,0.0221
day_1_2024_12_05,lab,9,1467,1511,20,0.4893,0.504,0.0067
day_1_2024_12_05,lab,15,541,947,12,0.3607,0.6313,0.008
day_1_2024_12_05,lab,11,646,675,6,0.4868,0.5087,0.0045
day_1_2024_12_05,lab,12,817,798,30,0.4967,0.4851,0.0182
day_1_2024_12_05,lab,8,873,1059,16,0.4482,0.5436,0.0082
day_1_2024_12_05,lab,10,620,1518,43,0.2843,0.696,0.0197
day_1_2024_12_05,lab,4,863,1749,22,0.3276,0.664,0.0084
day_1_2024_12_05,lab,13,393,2328,38,0.1424,0.8438,0.0138
day_1_2024_12_05,lab,7,503,2229,8,0.1836,0.8135,0.0029
day_1_2024_12_05,lab,1,313,987,10,0.2389,0.7534,0.0076
day_1_2024_12_05,lab,2,150,191,9,0.4286,0.5457,0.0257
day_1_2024_12_05,lab,6,115,1319,26,0.0788,0.9034,0.0178
day_2_2024_12_09,lab,30,107,346,5,0.2336,0.7555,0.0109
