day,location,flower_id,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized,var,rep,total_cbd,total_thc,total_cbg,total_c,total_thc_next_day
1,greenhouse,15,209,1501,16,0.1211,0.8696,0.0093,616,616-8,0.27117023067963,16.47882730792513,1.1557350537158702,17.90573259232063,16.47882730792513
1,greenhouse,14,305,1333,7,0.1854,0.8103,0.0043,1416-3,1416-3-7,0.38015253090594003,15.803839270471332,1.4301545345174702,17.61414633589474,15.803839270471332
1,greenhouse,13,141,2257,34,0.058,0.928,0.014,805-12,805-12-6,13.40229999449304,4.381777534495,0.90532804056291,18.68940556955095,4.381777534495
1,greenhouse,12,273,1665,8,0.1403,0.8556,0.0041,616,616-6,0.32967049782770996,16.61464282684,1.0941238141199998,18.03843713878771,16.61464282684
1,greenhouse,11,380,1034,15,0.2659,0.7236,0.0105,1416-3,1416-3-5,0.31706747513928,16.111711442649998,1.3051741373081098,17.733953055097388,16.111711442649998
1,greenhouse,10,131,2187,36,0.0556,0.9291,0.0153,805-12,805-12-4,11.571504871150708,4.35081915616,0.79784132672313,16.72016535403384,4.35081915616
1,greenhouse,9,556,1918,18,0.2231,0.7697,0.0072,1416-3,1416-3-3,0.32513579140851,15.895262010222659,1.2105470706165,17.430944872247668,15.895262010222659
1,greenhouse,8,410,1884,10,0.178,0.8177,0.0043,1416-3,1416-3-2,0.30260164784715005,15.634597745430465,1.16761897539531,17.104818368672923,15.634597745430465
1,greenhouse,6,72,2811,48,0.0246,0.9591,0.0164,805-12,805-12-7,13.14869727343725,4.346347166032,0.9566027267378399,18.45164716620709,4.346347166032
1,greenhouse,5,317,1851,27,0.1444,0.8433,0.0123,1416-3,1416-3-6,0.10887872191524,7.958901887697013,0.43404932566557003,8.501829935277824,7.958901887697013
1,greenhouse,4,159,2326,27,0.0633,0.926,0.0107,616,616-5,0.19348615929924,15.921381916660001,1.20285537000129,17.31772344596053,15.921381916660001
1,greenhouse,3,134,3023,78,0.0414,0.9345,0.0241,805-12,805-12-3,12.83941369520946,4.39059075133,0.765538379613,17.99554282615246,4.39059075133
1,greenhouse,2,133,1415,20,0.0848,0.9024,0.0128,616,616-2,0.27779745737835004,17.263690064550158,1.16157694569372,18.70306446762223,17.263690064550158
1,greenhouse,1,112,832,4,0.1181,0.8776,0.0042,616,616-1,0.32746778381412,15.569091415930002,1.16842365330066,17.064982853044782,15.569091415930002
1,lab,5,1950,1882,24,0.5057,0.4881,0.0062,1416-3,1416-3-6,0.10887872191524,7.958901887697013,0.43404932566557003,8.501829935277824,
1,lab,14,757,1444,14,0.3418,0.6519,0.0063,1416-3,1416-3-7,0.38015253090594003,15.803839270471332,1.4301545345174702,17.61414633589474,
1,lab,3,384,1296,38,0.2235,0.7544,0.0221,805-12,805-12-3,12.83941369520946,4.39059075133,0.765538379613,17.99554282615246,
1,lab,9,1467,1511,20,0.4893,0.504,0.0067,1416-3,1416-3-3,0.32513579140851,15.895262010222659,1.2105470706165,17.430944872247668,
1,lab,15,541,947,12,0.3607,0.6313,0.008,616,616-8,0.27117023067963,16.47882730792513,1.1557350537158702,17.90573259232063,
1,lab,11,646,675,6,0.4868,0.5087,0.0045,1416-3,1416-3-5,0.31706747513928,16.111711442649998,1.3051741373081098,17.733953055097388,
1,lab,12,817,798,30,0.4967,0.4851,0.0182,616,616-6,0.32967049782770996,16.61464282684,1.0941238141199998,18.03843713878771,
1,lab,8,873,1059,16,0.4482,0.5436,0.0082,1416-3,1416-3-2,0.30260164784715005,15.634597745430465,1.16761897539531,17.104818368672923,
1,lab,10,620,1518,43,0.2843,0.696,0.0197,805-12,805-12-4,11.571504871150708,4.35081915616,0.79784132672313,16.72016535403384,
1,lab,4,863,1749,22,0.3276,0.664,0.0084,616,616-5,0.19348615929924,15.921381916660001,1.20285537000129,17.31772344596053,
1,lab,13,393,2328,38,0.1424,0.8438,0.0138,805-12,805-12-6,13.40229999449304,4.381777534495,0.90532804056291,18.68940556955095,
1,lab,7,503,2229,8,0.1836,0.8135,0.0029,805-12,805-12-1,11.968286845716541,4.331639517916,0.81319308579,17.11311944942254,
1,lab,1,313,987,10,0.2389,0.7534,0.0076,616,616-1,0.32746778381412,15.569091415930002,1.16842365330066,17.064982853044782,
1,lab,2,150,191,9,0.4286,0.5457,0.0257,616,616-2,0.27779745737835004,17.263690064550158,1.16157694569372,18.70306446762223,
1,lab,6,115,1319,26,0.0788,0.9034,0.0178,805-12,805-12-7,13.14869727343725,4.346347166032,0.9566027267378399,18.45164716620709,
2,lab,30,107,346,5,0.2336,0.7555,0.0109,805-12,805-12-8,15.149901254576402,4.587652769359,1.0351670101029,20.7727210340383,
2,lab,29,60,146,8,0.2804,0.6822,0.0374,616,616-8,0.23362636441194,16.779529237166077,0.9872222708151901,18.00037787239321,
2,lab,28,49,198,7,0.1929,0.7795,0.0276,1416-3,1416-3-7,0.22172803972884,19.716696236013878,1.21264118773983,21.15106546348255,
2,lab,27,170,734,8,0.1864,0.8048,0.0088,805-12,805-12-6,14.718953345306401,4.462150963441,0.9823728943962902,20.163477203143692,
2,lab,26,168,520,11,0.2403,0.7439,0.0157,616,616-6,0.15921055907469,19.49345572225369,0.9542417844406499,20.60690806576903,
2,lab,25,251,576,15,0.2981,0.6841,0.0178,1416-3,1416-3-5,0.2317204568115,18.552360037371248,1.06247603564478,19.84655652982753,
2,lab,24,131,277,7,0.3157,0.6675,0.0169,616,616-4,0.25970790439557,17.01011198913646,1.0309157289737998,18.300735622505826,
2,lab,23,115,372,9,0.2319,0.75,0.0181,805-12,805-12-2,16.4052348904026,4.496981403946,0.94058974722357,21.842806041572167,
2,lab,22,473,169,1,0.7356,0.2628,0.0016,805-12,805-12-1,8.13934060371549,4.236962556685,0.469507506021,12.84581066642149,
2,lab,21,212,614,30,0.2477,0.7173,0.035,1416-3,1416-3-8,0.16476791760666,14.58370837466779,0.7298623693288799,15.47833866160333,
2,lab,20,574,1195,45,0.3164,0.6588,0.0248,616,616-7,0.22367523802338002,18.383714861476363,1.01829783984723,19.62568793934697,
2,lab,19,242,772,39,0.2298,0.7331,0.037,805-12,805-12-5,14.4530845747929,4.467531829369,0.88613930454426,19.806755708706163,
2,lab,18,554,1063,38,0.3347,0.6423,0.023,1416-3,1416-3-4,0.21889048209957002,16.769725156361112,0.8681138227058399,17.856729461166523,
2,lab,17,385,791,22,0.3214,0.6603,0.0184,616,616-3,0.17288279302752002,18.33107803041964,0.8717914475325901,19.37575227097975,
2,lab,16,310,424,24,0.409,0.5594,0.0317,1416-3,1416-3-1,0.22506788376684,17.595068131089405,0.83845470246165,18.658590717317896,
3,greenhouse,31,1279,2118,16,0.3747,0.6206,0.0047,616,616-1,0.27625914044226,16.087592849940187,0.8956075901696099,17.259459580552058,16.087592849940187
3,greenhouse,32,1089,1100,427,0.4163,0.4205,0.1632,616,616-2,0.19063040897061,16.613848435557504,0.7835642336619899,17.588043078190104,16.613848435557504
3,greenhouse,33,592,1594,373,0.2313,0.6229,0.1458,805-12,805-12-3,15.77754445783527,4.4430507570217,0.71731645197048,20.93791166682745,4.4430507570217
3,greenhouse,34,1120,1205,206,0.4425,0.4761,0.0814,616,616-5,0.185954095560105,15.197090189734809,0.8512741648745099,16.23431845016942,15.197090189734809
3,greenhouse,35,1757,2813,52,0.3801,0.6086,0.0113,1416-3,1416-3-6,0.25282273042494,15.934913882751639,1.0327926482454601,17.22052926142204,15.934913882751639
3,greenhouse,36,360,2757,55,0.1135,0.8692,0.0173,805-12,805-12-7,13.741365258126448,4.38586953988,0.68104110879765,18.8082759068041,4.38586953988
3,greenhouse,37,153,1308,0,0.1047,0.8953,0.0,805-12,805-12-1,14.556599094650853,4.4003040088,1.0073938451845499,19.9642969486354,4.4003040088
3,greenhouse,38,1020,1284,19,0.4391,0.5527,0.0082,1416-3,1416-3-2,0.25449035040504,15.876361825826251,0.95634832931649,17.08720050554778,15.876361825826251
3,greenhouse,39,814,1913,12,0.2972,0.6984,0.0044,1416-3,1416-3-3,0.22137716474739003,16.175210766030276,0.8884219089303,17.285009839707968,16.175210766030276
3,greenhouse,40,243,2431,31,0.0898,0.8987,0.0115,805-12,805-12-4,13.209118234816229,4.364847027076,0.68725102796712,18.261216289859348,4.364847027076
3,greenhouse,41,622,1385,8,0.3087,0.6873,0.004,1416-3,1416-3-5,0.22577741463285,15.545099021343251,0.8406713647499401,16.61154780072604,15.545099021343251
3,greenhouse,42,409,864,6,0.3198,0.6755,0.0047,616,616-6,0.16322901562782,16.872970302208877,0.7296261482394899,17.765825466076187,16.872970302208877
3,greenhouse,43,188,2214,40,0.077,0.9066,0.0164,805-12,805-12-6,14.14977584742225,4.404166639573,0.67787909492436,19.23182158191961,4.404166639573
3,greenhouse,44,530,1097,10,0.3238,0.6701,0.0061,1416-3,1416-3-7,0.22112577269001,15.020279560397217,0.8945622703275301,16.13596760341476,15.020279560397217
3,greenhouse,45,524,1247,15,0.2934,0.6982,0.0084,616,616-8,0.22086695004876,16.265249720337568,0.81759228493554,17.303708955321866,16.265249720337568
3,lab,31,1055,600,11,0.6333,0.3601,0.0066,616,616-1,0.27625914044226,16.087592849940187,0.8956075901696099,17.259459580552058,
3,lab,32,867,420,13,0.6669,0.3231,0.01,616,616-2,0.19063040897061,16.613848435557504,0.7835642336619899,17.588043078190104,
