Model Name,Model Size,Average Accuracy,Average Precision,Average Recall,Average f1,Average Confusion Matrix
YOLOv8,XLarge,0.9858849887976101,0.9860520433513404,0.9858849887976101,0.9858453561359892,"[[       61.8         0.2         0.2]
 [        0.6        60.6           1]
 [          0         0.4        61.8]]"
YOLOv8,Large,0.9813915857605178,0.9816382662294612,0.9813915857605178,0.9813886488962368,"[[       61.2           0           1]
 [        0.2          61           1]
 [        0.2         0.8        61.2]]"
YOLOv8,Small,0.9800970873786408,0.980497094703162,0.9800970873786408,0.9800785220954216,"[[       62.2           0           0]
 [        0.8        60.6         0.8]
 [        0.6         1.4        60.2]]"
YOLOv11,Small,0.9801095344784665,0.9807070850800039,0.9801095344784665,0.9800626440218471,"[[         62         0.2           0]
 [        0.8        61.2         0.2]
 [        0.8         1.4          60]]"
YOLOv11,Large,0.9794498381877024,0.9798863012132097,0.9794498381877024,0.979428834936735,"[[         62           0         0.2]
 [        0.6        59.6           2]
 [        0.2         0.8        61.2]]"
YOLOv8,Medium,0.9788025889967639,0.979326689971899,0.9788025889967639,0.9787309561534864,"[[       61.8           0         0.4]
 [        0.4        60.2         1.6]
 [        0.4         1.2        60.6]]"
YOLOv11,Medium,0.9781802340054767,0.9785767692660035,0.9781802340054767,0.9781762493222423,"[[       61.2         0.2         0.8]
 [        0.6        60.8         0.8]
 [          0         1.4        60.8]]"
YOLOv8,Nano,0.9775578790141897,0.977922700187961,0.9775578790141897,0.9775386379703036,"[[       61.2         0.4         0.6]
 [        0.8        60.6         0.8]
 [        0.2         0.8        61.2]]"
YOLOv11,Nano,0.9775205377147126,0.9778112767872293,0.9775205377147126,0.9775110649102192,"[[       61.8           0         0.4]
 [        0.8        59.8         1.6]
 [        0.4           1        60.8]]"
YOLOv11,XLarge,0.9762509335324869,0.9765863939297162,0.9762509335324869,0.9762333949965024,"[[       61.4         0.4         0.4]
 [        0.6        60.4         1.2]
 [        0.4         1.2        60.6]]"
